label,text
spam,Get paid to take surveys! Earn up to $100 per day from home.
spam,Your device may be infected. Download our antivirus software for free!
spam,Your friend has sent you a money transfer. Click to claim your funds!
ham,I'll be working from home today. Let me know if you need anything.
spam,Limited time offer! Get 50% off on all products. Click here to shop now!
spam,You have unread messages from attractive singles in your area. View now!
ham,I'll be out of office next week. John will be covering for me.
ham,The project deadline has been extended to next Friday. Please adjust your schedules.
ham,The monthly newsletter has been published. Check it out when you have time.
spam,Exclusive offer for you! Get a free vacation package. Call now to book!
ham,Don't forget about the team lunch tomorrow at 12:30 at the usual place.
spam,Warning: Unusual activity detected on your account. Secure it now!
spam,Your credit score has been updated. Check your new score for free!
ham,Can we schedule a quick call to discuss the budget proposal?
ham,The software update has been completed. Please restart your computers.
spam,You've been chosen for a special reward! Claim your $500 gift card now!
spam,You've won a luxury car! Complete the survey to claim your prize!
ham,Can you send me the presentation slides from yesterday's meeting?
spam,WINNER!! You have won a free ticket to Bahamas! Call 12345 now to claim your prize!
ham,Please submit your timesheets by end of day today for payroll processing.
spam,Your account has been compromised. Verify your identity now to secure your account.
spam,Your package delivery failed. Click here to reschedule and claim your package.
spam,URGENT! Your bank account needs verification. Click here to update your information immediately.
ham,Reminder: Team building event this Friday at 4pm. Please RSVP by tomorrow.
ham,"Hey, just checking in. How are you doing? We should catch up soon."
spam,Congratulations! You've been selected for a free iPhone. Reply YES to claim your gift.
ham,I've uploaded the documents to the shared drive. Let me know if you can access them.
ham,The client has requested some changes to the design. Let's discuss tomorrow.
spam,"You have won $1,000,000! Call now at 1-800-SCAM to claim your money!"
ham,We're ordering lunch for the team. What would you like?
ham,The quarterly report is attached. Please review and provide feedback by EOD.
ham,The conference room for tomorrow's meeting has been changed to room 302.
spam,Get rich quick! Earn $5000 per week working from home. No experience needed!
ham,Meeting agenda for Friday: 1. Project updates 2. Budget review 3. Next steps
spam,Your social media account has suspicious activity. Secure it now!
ham,"Hi, are we still meeting tomorrow at 3pm? Let me know if that works for you."
spam,Important: Your subscription is about to expire. Renew now to avoid service interruption.
spam,"You're eligible for a government grant! Apply now to receive $10,000!"
ham,Great work on the presentation yesterday! The client was very impressed.
ham,Happy birthday! Hope you have a wonderful day celebrating!
